request_id,app_id,point_x,point_y,entry_node,node_1,node_2,node_3,propagation_ms,processing_ms,latency_max_ms,slo_violation,total_ms,status
804,APP-COM,4.773151,7.503182,UAV-233,UAV-031,UAV-060,UAV-054,3538.506191,120.000000,1600.000000,YES,3658.506191,OK
805,APP-COM,3.548502,6.046037,UAV-031,UAV-031,UAV-005,UAV-224,2321.368138,120.000000,1600.000000,YES,2441.368138,OK
806,APP-COM,0.447900,7.659016,UAV-019,UAV-004,UAV-003,UAV-054,759.894128,120.000000,1600.000000,NO,879.894128,OK
807,APP-COM,3.010256,6.966629,UAV-233,UAV-031,UAV-005,UAV-223,3247.905942,120.000000,1600.000000,YES,3367.905942,OK
808,APP-COM,0.471997,7.862104,UAV-019,UAV-008,UAV-029,UAV-287,685.326486,120.000000,1600.000000,NO,805.326486,OK
809,APP-COM,2.979065,7.668223,UAV-025,UAV-016,UAV-068,UAV-302,3179.141999,120.000000,1600.000000,YES,3299.141999,OK
810,APP-COM,3.108393,7.880466,UAV-025,UAV-035,UAV-071,UAV-302,3014.509628,120.000000,1600.000000,YES,3134.509628,OK
811,APP-COM,1.941240,6.068874,UAV-020,UAV-036,UAV-083,UAV-090,3202.398959,120.000000,1600.000000,YES,3322.398959,OK
812,APP-COM,4.914760,6.540181,UAV-233,UAV-031,UAV-006,UAV-224,3222.481015,120.000000,1600.000000,YES,3342.481015,OK
813,APP-COM,1.371037,7.835307,UAV-025,UAV-041,UAV-006,UAV-224,3022.910796,120.000000,1600.000000,YES,3142.910796,OK
814,APP-COM,0.598584,7.971505,UAV-019,UAV-046,UAV-068,UAV-065,771.202056,120.000000,1600.000000,NO,891.202056,OK
815,APP-COM,3.792888,6.947952,UAV-233,UAV-031,UAV-005,UAV-224,3382.132985,120.000000,1600.000000,YES,3502.132985,OK
816,APP-COM,0.235961,7.728568,UAV-019,UAV-051,UAV-029,UAV-287,715.653863,120.000000,1600.000000,NO,835.653863,OK
817,APP-COM,0.090344,7.681853,UAV-013,UAV-053,UAV-007,UAV-284,789.902166,120.000000,1600.000000,NO,909.902166,OK
818,APP-COM,4.950380,7.779707,UAV-038,UAV-070,UAV-071,UAV-200,349.536017,120.000000,1600.000000,NO,469.536017,OK
819,APP-COM,4.120920,6.433378,UAV-031,UAV-031,UAV-029,UAV-287,2261.011059,120.000000,1600.000000,YES,2381.011059,OK
820,APP-COM,4.915235,7.310444,UAV-233,UAV-031,UAV-060,UAV-232,3351.206337,120.000000,1600.000000,YES,3471.206337,OK
821,APP-COM,0.582694,6.392895,UAV-020,UAV-056,UAV-241,UAV-246,3039.688100,120.000000,1600.000000,YES,3159.688100,OK
822,APP-COM,1.719440,6.864096,UAV-020,UAV-196,UAV-058,UAV-284,3204.055273,120.000000,1600.000000,YES,3324.055273,OK
823,APP-COM,4.831157,7.640318,UAV-233,UAV-031,UAV-063,UAV-037,3296.040877,120.000000,1600.000000,YES,3416.040877,OK
824,APP-COM,2.756839,7.401971,UAV-025,UAV-199,UAV-067,UAV-054,3306.623100,120.000000,1600.000000,YES,3426.623100,OK
825,APP-COM,1.414073,7.686786,UAV-025,UAV-201,UAV-083,UAV-090,3314.748008,120.000000,1600.000000,YES,3434.748008,OK
826,APP-COM,0.402759,7.280391,UAV-020,UAV-228,UAV-003,UAV-065,3070.444430,120.000000,1600.000000,YES,3190.444430,OK
827,APP-COM,0.367968,6.792900,UAV-020,UAV-017,UAV-007,UAV-284,3145.871270,120.000000,1600.000000,YES,3265.871270,OK
828,APP-COM,0.362526,7.014721,UAV-020,UAV-235,UAV-007,UAV-284,3248.662408,120.000000,1600.000000,YES,3368.662408,OK
829,APP-COM,3.475198,6.378271,UAV-031,UAV-031,UAV-003,UAV-200,2391.154616,120.000000,1600.000000,YES,2511.154616,OK
830,APP-COM,4.935452,6.653125,UAV-233,UAV-031,UAV-005,UAV-223,3447.376493,120.000000,1600.000000,YES,3567.376493,OK
831,APP-COM,4.094465,7.088661,UAV-233,UAV-031,UAV-068,UAV-232,3242.682123,120.000000,1600.000000,YES,3362.682123,OK
832,APP-COM,4.835813,7.580222,UAV-233,UAV-031,UAV-006,UAV-224,3395.412709,120.000000,1600.000000,YES,3515.412709,OK
833,APP-COM,2.602509,7.894718,UAV-025,UAV-238,UAV-083,UAV-302,3000.062577,120.000000,1600.000000,YES,3120.062577,OK
834,APP-COM,4.621002,6.028515,UAV-031,UAV-031,UAV-005,UAV-224,2288.077615,120.000000,1600.000000,YES,2408.077615,OK
835,APP-COM,4.393205,6.004710,UAV-031,UAV-031,UAV-007,UAV-284,2229.142961,120.000000,1600.000000,YES,2349.142961,OK
836,APP-COM,4.827468,6.270328,UAV-031,UAV-031,UAV-029,UAV-287,2507.687195,120.000000,1600.000000,YES,2627.687195,OK
