request_id,service_id,point_x,point_y,entry_node,target_node,target_x,target_y,path_latency_ms,propagation_ms,processing_ms,orig_total_ms,latency_max_ms,slo_violation,total_ms,status
3792,COM-S03,4.905808,6.061251,UAV-031,UAV-090,22.000000,7.000000,221.0,474.438835,22.500000,496.938835,1000.000000,NO,496.938835,OK
3793,COM-S03,2.257089,7.878160,UAV-025,UAV-232,2.000000,0.000000,369.0,708.517820,22.500000,731.017820,1000.000000,NO,731.017820,OK
3794,COM-S03,4.432563,7.703476,UAV-233,UAV-232,2.000000,0.000000,366.0,713.706843,22.500000,736.206843,1000.000000,NO,736.206843,OK
3795,COM-S03,2.021037,7.520843,UAV-025,UAV-284,-2.000000,10.000000,370.0,714.367335,22.500000,736.867335,1000.000000,NO,736.867335,OK
3796,COM-S03,2.382055,7.326674,UAV-025,UAV-250,24.000000,-6.000000,373.0,786.136139,22.500000,808.636139,1000.000000,NO,808.636139,OK
3797,COM-S03,4.194161,6.010187,UAV-031,UAV-037,6.000000,5.000000,224.0,470.878305,22.500000,493.378305,1000.000000,NO,493.378305,OK
3798,COM-S03,0.900163,6.081051,UAV-020,UAV-286,1.000000,5.000000,321.0,660.364908,22.500000,682.864908,1000.000000,NO,682.864908,OK
3799,COM-S03,0.017152,7.276343,UAV-013,UAV-287,4.000000,0.000000,133.0,268.327981,22.500000,290.827981,1000.000000,NO,290.827981,OK
3800,COM-S03,4.941377,7.608414,UAV-233,UAV-302,20.000000,2.000000,369.0,686.504912,22.500000,709.004912,1000.000000,NO,709.004912,OK
3801,COM-S03,0.842503,7.003004,UAV-020,UAV-054,12.000000,-5.000000,324.0,659.180415,22.500000,681.680415,1000.000000,NO,681.680415,OK
3802,COM-S03,1.146842,7.104428,UAV-020,UAV-286,1.000000,5.000000,325.0,641.541775,22.500000,664.041775,1000.000000,NO,664.041775,OK
3803,COM-S03,2.355212,7.732656,UAV-025,UAV-065,15.000000,-5.000000,376.0,751.310450,22.500000,773.810450,1000.000000,NO,773.810450,OK
3804,COM-S03,0.159749,6.545839,UAV-020,UAV-128,34.000000,6.000000,326.0,655.186311,22.500000,677.686311,1000.000000,NO,677.686311,OK
3805,COM-S03,0.579110,6.746051,UAV-020,UAV-200,6.000000,10.000000,328.0,700.045414,22.500000,722.545414,1000.000000,NO,722.545414,OK
3806,COM-S03,0.148506,7.705988,UAV-019,UAV-223,-5.000000,4.000000,116.0,237.888587,22.500000,260.388587,1000.000000,NO,260.388587,OK
3807,COM-S03,4.638228,6.329464,UAV-031,UAV-037,6.000000,5.000000,228.0,481.440807,22.500000,503.940807,1000.000000,NO,503.940807,OK
3808,COM-S03,4.647405,6.578537,UAV-233,UAV-224,-4.000000,6.000000,372.0,768.002984,22.500000,790.502984,1000.000000,NO,790.502984,OK
3809,COM-S03,4.902721,7.197590,UAV-233,UAV-232,2.000000,0.000000,373.0,700.845544,22.500000,723.345544,1000.000000,NO,723.345544,OK
3810,COM-S03,4.257437,6.047459,UAV-031,UAV-284,-2.000000,10.000000,228.0,482.265929,22.500000,504.765929,1000.000000,NO,504.765929,OK
3811,COM-S03,1.647142,6.602565,UAV-020,UAV-286,1.000000,5.000000,329.0,659.932598,22.500000,682.432598,1000.000000,NO,682.432598,OK
3812,COM-S03,3.804752,6.191214,UAV-031,UAV-054,12.000000,-5.000000,232.0,458.833307,22.500000,481.333307,1000.000000,NO,481.333307,OK
3813,COM-S03,1.439185,7.767572,UAV-025,UAV-065,15.000000,-5.000000,380.0,695.155314,22.500000,717.655314,1000.000000,NO,717.655314,OK
3814,COM-S03,2.777328,7.220486,UAV-025,UAV-287,4.000000,0.000000,380.0,729.044591,22.500000,751.544591,1000.000000,NO,751.544591,OK
3815,COM-S03,2.796227,7.420737,UAV-025,UAV-090,22.000000,7.000000,381.0,798.977524,22.500000,821.477524,1000.000000,NO,821.477524,OK
3816,COM-S03,0.577043,6.291818,UAV-020,UAV-107,28.000000,-1.000000,332.0,691.621095,22.500000,714.121095,1000.000000,NO,714.121095,OK
3817,COM-S03,1.252905,7.835425,UAV-025,UAV-128,34.000000,6.000000,384.0,794.177665,22.500000,816.677665,1000.000000,NO,816.677665,OK
3818,COM-S03,4.071606,7.105099,UAV-233,UAV-200,6.000000,10.000000,376.0,806.690959,22.500000,829.190959,1000.000000,NO,829.190959,OK
3819,COM-S03,1.530305,7.536312,UAV-025,UAV-054,12.000000,-5.000000,385.0,760.827344,22.500000,783.327344,1000.000000,NO,783.327344,OK
3820,COM-S03,4.170578,7.205486,UAV-233,UAV-232,2.000000,0.000000,378.0,782.686846,22.500000,805.186846,1000.000000,NO,805.186846,OK
3821,COM-S03,0.766131,7.215474,UAV-020,UAV-286,1.000000,5.000000,333.0,606.742927,22.500000,629.242927,1000.000000,NO,629.242927,OK
3822,COM-S03,1.657797,6.919395,UAV-020,UAV-037,6.000000,5.000000,336.0,682.586767,22.500000,705.086767,1000.000000,NO,705.086767,OK
3823,COM-S03,0.414972,6.636695,UAV-020,UAV-224,-4.000000,6.000000,336.0,628.050366,22.500000,650.550366,1000.000000,NO,650.550366,OK
3824,COM-S03,0.345561,7.175492,UAV-020,UAV-286,1.000000,5.000000,337.0,632.776135,22.500000,655.276135,1000.000000,NO,655.276135,OK
3825,COM-S03,1.401764,6.957821,UAV-020,UAV-054,12.000000,-5.000000,340.0,699.316597,22.500000,721.816597,1000.000000,NO,721.816597,OK
3826,COM-S03,1.478805,6.602588,UAV-020,UAV-232,2.000000,0.000000,340.0,709.783462,22.500000,732.283462,1000.000000,NO,732.283462,OK
3827,COM-S03,4.382197,6.018301,UAV-031,UAV-065,15.000000,-5.000000,236.0,470.644434,22.500000,493.144434,1000.000000,NO,493.144434,OK
3828,COM-S03,0.870545,6.602963,UAV-020,UAV-286,1.000000,5.000000,341.0,623.376211,22.500000,645.876211,1000.000000,NO,645.876211,OK
3829,COM-S03,1.539071,7.440293,UAV-025,UAV-250,24.000000,-6.000000,388.0,804.321892,22.500000,826.821892,1000.000000,NO,826.821892,OK
3830,COM-S03,2.672886,6.630651,UAV-233,UAV-254,28.000000,-6.000000,380.0,829.182137,22.500000,851.682137,1000.000000,NO,851.682137,OK
3831,COM-S03,4.170482,7.126199,UAV-233,UAV-284,-2.000000,10.000000,381.0,712.660265,22.500000,735.160265,1000.000000,NO,735.160265,OK
3832,COM-S03,1.195809,7.525778,UAV-025,UAV-200,6.000000,10.000000,389.0,775.251326,22.500000,797.751326,1000.000000,NO,797.751326,OK
3833,COM-S03,1.455583,6.362566,UAV-020,UAV-223,-5.000000,4.000000,344.0,670.943847,22.500000,693.443847,1000.000000,NO,693.443847,OK
3834,COM-S03,0.696497,6.773750,UAV-020,UAV-287,4.000000,0.000000,344.0,679.499823,22.500000,701.999823,1000.000000,NO,701.999823,OK
3835,COM-S03,1.961550,7.809642,UAV-025,UAV-224,-4.000000,6.000000,392.0,789.306815,22.500000,811.806815,1000.000000,NO,811.806815,OK
3836,COM-S03,1.477454,6.313949,UAV-020,UAV-286,1.000000,5.000000,345.0,652.790185,22.500000,675.290185,1000.000000,NO,675.290185,OK
3837,COM-S03,2.707871,7.538197,UAV-025,UAV-302,20.000000,2.000000,392.0,754.650023,22.500000,777.150023,1000.000000,NO,777.150023,OK
3838,COM-S03,2.030601,7.208247,UAV-025,UAV-054,12.000000,-5.000000,394.0,789.582421,22.500000,812.082421,1000.000000,NO,812.082421,OK
3839,COM-S03,0.631010,6.709903,UAV-020,UAV-232,2.000000,0.000000,348.0,701.713622,22.500000,724.213622,1000.000000,NO,724.213622,OK
3840,COM-S03,2.500558,6.604141,UAV-025,UAV-284,-2.000000,10.000000,396.0,780.436244,22.500000,802.936244,1000.000000,NO,802.936244,OK
3841,COM-S03,2.089934,7.342849,UAV-025,UAV-090,22.000000,7.000000,397.0,813.275709,22.500000,835.775709,1000.000000,NO,835.775709,OK
3842,COM-S03,3.094976,6.978818,UAV-233,UAV-287,4.000000,0.000000,384.0,739.749380,22.500000,762.249380,1000.000000,NO,762.249380,OK
3843,COM-S03,0.919036,7.163534,UAV-020,UAV-200,6.000000,10.000000,349.0,647.384764,22.500000,669.884764,1000.000000,NO,669.884764,OK
3844,COM-S03,1.882865,7.435883,UAV-025,UAV-232,2.000000,0.000000,401.0,804.439291,22.500000,826.939291,1000.000000,NO,826.939291,OK
3845,COM-S03,4.849137,6.618209,UAV-233,UAV-250,24.000000,-6.000000,385.0,787.603369,22.500000,810.103369,1000.000000,NO,810.103369,OK
3846,COM-S03,1.134522,6.571309,UAV-020,UAV-286,1.000000,5.000000,349.0,749.148460,22.500000,771.648460,1000.000000,NO,771.648460,OK
3847,COM-S03,1.171664,7.924746,UAV-025,UAV-302,20.000000,2.000000,401.0,834.895796,22.500000,857.395796,1000.000000,NO,857.395796,OK
3848,COM-S03,0.377344,6.662995,UAV-020,UAV-284,-2.000000,10.000000,353.0,748.314640,22.500000,770.814640,1000.000000,NO,770.814640,OK
3849,COM-S03,3.911857,6.236539,UAV-031,UAV-302,20.000000,2.000000,237.0,473.742286,22.500000,496.242286,1000.000000,NO,496.242286,OK
3850,COM-S03,4.562190,7.839993,UAV-233,UAV-287,4.000000,0.000000,389.0,811.289336,22.500000,833.789336,1000.000000,NO,833.789336,OK
3851,COM-S03,2.140055,6.116827,UAV-020,UAV-286,1.000000,5.000000,353.0,733.847685,22.500000,756.347685,1000.000000,NO,756.347685,OK
3852,COM-S03,0.625108,7.567507,UAV-025,UAV-312,35.000000,-1.000000,402.0,788.757688,22.500000,811.257688,1000.000000,NO,811.257688,OK
3853,COM-S03,2.737200,6.813559,UAV-233,UAV-037,6.000000,5.000000,392.0,768.690095,22.500000,791.190095,1000.000000,NO,791.190095,OK
3854,COM-S03,0.346237,6.227754,UAV-020,UAV-054,12.000000,-5.000000,356.0,747.681723,22.500000,770.181723,1000.000000,NO,770.181723,OK
3855,COM-S03,3.145998,6.955647,UAV-233,UAV-037,6.000000,5.000000,393.0,746.328737,22.500000,768.828737,1000.000000,NO,768.828737,OK
3856,COM-S03,2.431472,7.078302,UAV-025,UAV-054,12.000000,-5.000000,408.0,753.590122,22.500000,776.090122,1000.000000,NO,776.090122,OK
3857,COM-S03,2.584084,6.568968,UAV-233,UAV-065,15.000000,-5.000000,396.0,819.714716,22.500000,842.214716,1000.000000,NO,842.214716,OK
3858,COM-S03,1.430335,6.304444,UAV-020,UAV-286,1.000000,5.000000,357.0,648.216695,22.500000,670.716695,1000.000000,NO,670.716695,OK
3859,COM-S03,2.267779,6.673304,UAV-025,UAV-065,15.000000,-5.000000,408.0,826.949240,22.500000,849.449240,1000.000000,NO,849.449240,OK
3860,COM-S03,0.742513,6.486579,UAV-020,UAV-090,22.000000,7.000000,360.0,683.620291,22.500000,706.120291,1000.000000,NO,706.120291,OK
